function,dimensions,observation_count,bound_profile,candidate_scheme,candidate_count,strategy,kappa,xi,query,submission_query,predicted_mean,predictive_std,acquisition_score,fitted_kernel,duplicate_at_6dp,experiment_status
3,3,26,wide,uniform_random,20000,ucb_kappa_1,1.0,,"[0.463081,0.348473,0.000767]",0.463081-0.348473-0.000767,-0.04244298964667476,0.06393848222942179,0.02149549258274703,"1.22**2 * Matern(length_scale=[0.24, 10, 0.0989], nu=2.5) + WhiteKernel(noise_level=9.97e-07)",False,sensitivity_only_not_submitted
3,3,26,wide,uniform_random,20000,ucb_kappa_2,2.0,,"[0.368311,0.30386,0.000152]",0.368311-0.303860-0.000152,-0.054877097507416,0.07405211128578194,0.09322712506414789,"1.22**2 * Matern(length_scale=[0.24, 10, 0.0989], nu=2.5) + WhiteKernel(noise_level=9.97e-07)",False,sensitivity_only_not_submitted
3,3,26,wide,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.463081,0.348473,0.000767]",0.463081-0.348473-0.000767,-0.04244298964667476,0.06393848222942179,0.017665071645799422,"1.22**2 * Matern(length_scale=[0.24, 10, 0.0989], nu=2.5) + WhiteKernel(noise_level=9.97e-07)",False,sensitivity_only_not_submitted
4,4,41,standard,uniform_random,20000,ucb_kappa_0.1,0.1,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.3671485734103896,0.5398048731393261,-1.313168086096457,"4.38**2 * Matern(length_scale=[1.96, 1.9, 2, 2], nu=2.5) + WhiteKernel(noise_level=0.00134)",False,sensitivity_only_not_submitted
4,4,41,standard,uniform_random,20000,ucb_kappa_0.5,0.5,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.3671485734103896,0.5398048731393261,-1.0972461368407265,"4.38**2 * Matern(length_scale=[1.96, 1.9, 2, 2], nu=2.5) + WhiteKernel(noise_level=0.00134)",False,sensitivity_only_not_submitted
4,4,41,standard,uniform_random,20000,ucb_kappa_1,1.0,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.3671485734103896,0.5398048731393261,-0.8273437002710635,"4.38**2 * Matern(length_scale=[1.96, 1.9, 2, 2], nu=2.5) + WhiteKernel(noise_level=0.00134)",False,sensitivity_only_not_submitted
4,4,41,standard,uniform_random,20000,ucb_kappa_2,2.0,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.3671485734103896,0.5398048731393261,-0.2875388271317374,"4.38**2 * Matern(length_scale=[1.96, 1.9, 2, 2], nu=2.5) + WhiteKernel(noise_level=0.00134)",False,sensitivity_only_not_submitted
4,4,41,standard,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.3671485734103896,0.5398048731393261,0.6396124182312388,"4.38**2 * Matern(length_scale=[1.96, 1.9, 2, 2], nu=2.5) + WhiteKernel(noise_level=0.00134)",False,sensitivity_only_not_submitted
4,4,41,wide,uniform_random,20000,ucb_kappa_0.1,0.1,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.5509004993205266,0.5570437370212116,-1.4951961256184054,"5.74**2 * Matern(length_scale=[2.29, 2.22, 2.4, 2.37], nu=2.5) + WhiteKernel(noise_level=0.00196)",False,sensitivity_only_not_submitted
4,4,41,wide,uniform_random,20000,ucb_kappa_0.5,0.5,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.5509004993205266,0.5570437370212116,-1.272378630809921,"5.74**2 * Matern(length_scale=[2.29, 2.22, 2.4, 2.37], nu=2.5) + WhiteKernel(noise_level=0.00196)",False,sensitivity_only_not_submitted
