Week,Function,Dimensions,Observation count,Previous best,New observation,New best,Improvement,Fitted GP kernel,Predictive std at selected query,UCB score,Evidence status,Evidence note
9,F7,6,36,2.149905456773691,1.009840334573839,2.149905456773691,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
9,F8,8,46,9.9399041910574,9.6998918101966,9.9399041910574,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Code/weekly_evidence.py.
10,F1,2,16,7.710875114502849e-16,,7.710875114502849e-16,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F2,2,16,0.6112052157614438,,0.6112052157614438,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F3,3,21,-0.034835313350078584,,-0.034835313350078584,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F4,4,36,-1.9810750402526334,,-1.9810750402526334,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F5,4,26,1088.8596181962705,,1088.8596181962705,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F6,5,26,-0.7142649478202404,,-0.7142649478202404,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F7,6,36,2.149905456773691,,2.149905456773691,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
10,F8,8,46,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,Week 10 return unavailable in the repository evidence.
11,F1,2,16,7.710875114502849e-16,,7.710875114502849e-16,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F2,2,16,0.6112052157614438,,0.6112052157614438,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F3,3,21,-0.034835313350078584,,-0.034835313350078584,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F4,4,36,-1.9810750402526334,,-1.9810750402526334,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F5,4,26,1088.8596181962705,,1088.8596181962705,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F6,5,26,-0.7142649478202404,,-0.7142649478202404,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F7,6,36,2.149905456773691,,2.149905456773691,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
11,F8,8,46,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,Week 11 arrays quarantined after provenance and corruption checks.
12,F1,2,16,7.710875114502849e-16,,7.710875114502849e-16,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F2,2,16,0.6112052157614438,,0.6112052157614438,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F3,3,21,-0.034835313350078584,,-0.034835313350078584,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F4,4,36,-1.9810750402526334,,-1.9810750402526334,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F5,4,26,1088.8596181962705,,1088.8596181962705,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F6,5,26,-0.7142649478202404,,-0.7142649478202404,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F7,6,36,2.149905456773691,,2.149905456773691,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
12,F8,8,46,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,No verified Week 12 return is present.
13,F1,2,16,7.710875114502849e-16,,7.710875114502849e-16,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F2,2,16,0.6112052157614438,,0.6112052157614438,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F3,3,21,-0.034835313350078584,,-0.034835313350078584,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F4,4,36,-1.9810750402526334,,-1.9810750402526334,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F5,4,26,1088.8596181962705,,1088.8596181962705,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F6,5,26,-0.7142649478202404,,-0.7142649478202404,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F7,6,36,2.149905456773691,,2.149905456773691,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
13,F8,8,46,9.9399041910574,,9.9399041910574,,Not recorded,,,Return unavailable,No verified Week 13 return is present.
